,Product,Review,Rating
0,Mobile phone,Good mobile,4
1,Mobile phone,Good,4
2,Mobile phone,Good,4
3,Mobile phone,Nice mobile,5
4,Mobile phone,Very good,5
5,Mobile phone,Grandly So Good,5
6,Mobile phone,Nice,5
7,Mobile phone,Nice,5
8,Mobile phone,Very good mobile...,5
9,Mobile phone,Not good,2
10,Mobile phone,Good phone,5
11,Mobile phone,Very good phone at this budget. After 10 days if usage my honest review are below  Pros 1. Very good build quality 2. Decent display 3. Very good battery back up 4. Decent back camera under good lighted condition ( for this price range) 5. Good sound quality while playing music  Cons 1. Front camera become little whitish in picture 2. During low light camera performance degrades,5
12,Mobile phone,"This Samsung set has some serious issues with the internet. Its been a month, the internet gets down every 3-4 hours. Even the samsung customer care centre didn't showed interest for this problem.  Spending your money on this mobile is like throwing in the garbage bin. One of the worst samsung products.",1
13,Mobile phone,Nice one,5
14,Mobile phone,Good,5
15,Mobile phone,Valuable phone,5
16,Mobile phone,Camra is not good,3
17,Mobile phone,Good,5
18,Mobile phone,Nice phone,4
19,Mobile phone,Good,4
20,Mobile phone,Good,5
21,Mobile phone,Good,5
22,Mobile phone,Nice and budget phone,4
23,Mobile phone,Super phone,5
24,Mobile phone,Okay better choice,3
25,Mobile phone,This is best product,5
26,Mobile phone,Nice phone,4
27,Mobile phone,good products,5
28,Mobile phone,Camera quality is very poor. Don't buy this product. Camera given 48MP+4+4+4 but is is not even equal to 5MP. It doesn't match with samsung companies products. Charger cable is too small and poor quality..,1
29,Mobile phone,Best ever phone i purchase using since 1 year Bole to paisa wasul.,5
30,Mobile phone,Good,4
31,Mobile phone,"Super quality, beacuse I'm a old user of Samsung mobiles ,,",4
32,Mobile phone,The phone is decent at this price range but don't expect too much camera is average battery is awesome. Performance is okkay.overall think twice before u buy this smartphone.,4
33,Mobile phone,Awesome,5
34,Mobile phone,Superb quality products,4
35,Mobile phone,Good,5
36,Mobile phone,nice phone,5
37,Mobile phone,Good product,5
38,Mobile phone,Very nice mobile,5
39,Mobile phone,Best cellphone is in this range,4
40,Mobile phone,Over all good,4
41,Mobile phone,Very Good,4
42,Mobile phone,Good quality,3
43,Mobile phone,Aswam product,5
44,Mobile phone,Good,4
45,Mobile phone,Wonder full product,5
46,Mobile phone,Good,4
47,Mobile phone,Very nice phone in this range camera is nice display and battery life is awesome big thumbs up from my side 👍,5
48,Mobile phone,Ok,3
49,Mobile phone,Good product,5
50,Mobile phone,Awesome phone this price range,5
51,Mobile phone,super prod,5
52,Mobile phone,Samsung f12 is good product,5
53,Mobile phone,Good,3
54,Mobile phone,Quality best nice phone👍,5
55,Mobile phone,Good,5
56,Mobile phone,Good 👍,4
57,Mobile phone,Touch Not working,2
58,Mobile phone,Battery good camera nice display ok. Overall good,4
59,Mobile phone,Very very good,5
60,Mobile phone,Thanks Flipkart for delivering quality products.,5
61,Mobile phone,Nice 😍,5
62,Mobile phone,Phone is not as per expectation. Performance is not upto the mark.Sound is very low and bass less. Samsung and flipkart should think about it for their goodwill and prestige.,1
63,Mobile phone,Nyc phn,4
64,Mobile phone,Not the perfect,3
65,Mobile phone,Not good,1
66,Mobile phone,Nice product,5
67,Mobile phone,Nice phone 📱,5
68,Mobile phone,"The fromt camera of this phone is not much good ,phone is not require for selfie lover",3
69,Mobile phone,A1 phone,5
70,Mobile phone,Good,4
71,Mobile phone,Value of money mobile phone,4
72,Mobile phone,Camera is very bad,1
73,Mobile phone,I liked sumsung mobile 📱,5
74,Mobile phone,"Very Nice Mobile phone Better Battery, Best camera, etc....",5
75,Mobile phone,Nice phone,5
76,Mobile phone,Really nice product,5
77,Mobile phone,good,3
78,Mobile phone,One of the best mobile 💖,4
79,Mobile phone,Good product,5
80,Mobile phone,Good product....,5
81,Mobile phone,Very nice and good mobile under 9500,4
82,Mobile phone,Phone is very good. Packaging is very bad.,5
83,Mobile phone,Very nice,5
84,Mobile phone,Good phone,5
85,Mobile phone,Value for money product,4
86,Mobile phone,Very slow mobile & ringer is very low,1
87,Mobile phone,Bad,1
88,Mobile phone,Super,5
89,Mobile phone,Good product,5
90,Mobile phone,Good,5
91,Mobile phone,Good 👍,4
92,Mobile phone,Good budget phone,4
93,Mobile phone,Good phone for normal user,5
94,Mobile phone,Mind blowing phones,4
95,Mobile phone,Nice product by filipcart awesome,5
96,Mobile phone,Good,5
97,Mobile phone,It is good,5
98,Mobile phone,Love❤ this product,5
99,Mobile phone,Nice phone,5
100,Mobile phone,Its best mobile,4
101,Mobile phone,Fablous,5
102,Mobile phone,No comments but very happy and amezing product love it,5
103,Mobile phone,Good,5
104,Mobile phone,Ok,3
105,Mobile phone,Good performance and specs at this price point. Excellent display,5
106,Mobile phone,Very good,5
107,Mobile phone,Phone hanging problem. Touch is not working,1
108,Mobile phone,Good 👍 👍,5
109,Mobile phone,Too good,5
110,Mobile phone,Nice Mobile,5
111,Mobile phone,Excellent,5
112,Mobile phone,Super mobile!.,4
113,Mobile phone,One of the best phone in 9499,5
114,Mobile phone,Sema irku very nice,5
115,Mobile phone,Ossm product . Best mobile in this range . Always go for the Samsung,5
116,Mobile phone,Nice mobile only for normal use persons,4
117,Mobile phone,GOOD PRODUCT AT ALL.,3
118,Mobile phone,Nice phone,4
119,Mobile phone,Not meet the expectations,3
120,Mobile phone,Good Mobile in mid Range,5
121,Mobile phone,Nice,5
122,Mobile phone,Good,5
123,Mobile phone,Loudspeaker not working,3
124,Mobile phone,Good,5
125,Mobile phone,Nice phone,3
126,Mobile phone,Amazing,5
127,Mobile phone,The best price compared to others,3
128,Mobile phone,Tuch is very bad and tuch slow working,1
129,Mobile phone,Good,5
130,Mobile phone,Awsm,5
131,Mobile phone,Excellent,4
132,Mobile phone,Good,5
133,Mobile phone,Nice,5
134,Mobile phone,Good mobile by Samsung good battery life,4
135,Mobile phone,Good,4
136,Mobile phone,Heating problem speaker sound quality bed call touch receiving not proper working,1
137,Mobile phone,Good phone for normal daily uses.,4
138,Mobile phone,Value of money,5
139,Mobile phone,Good product,5
140,Mobile phone,Nice phone with very good features,5
141,Mobile phone,Too much user friendly,5
142,Mobile phone,"Thanks for flipkart for budget phone , with smart phone all features available",5
143,Mobile phone,Nice,3
144,Mobile phone,User friendly mobile,4
145,Mobile phone,Nice mobile,5
146,Mobile phone,Good,4
147,Mobile phone,In this segment it's good,4
148,Mobile phone,Good,4
149,Mobile phone,All are good but the body part is local,5
150,Mobile phone,Good,4
151,Mobile phone,Samsung is being Samsung,5
152,Mobile phone,Superfine product,5
153,Mobile phone,Excellent mobile,5
154,Mobile phone,All rights,5
155,Mobile phone,Very good product,4
156,Mobile phone,Very good phone on this price range,5
